channel,Theta,sigma
channel_2,19.0,28.1
channel_2,20.0,29.69
channel_2,21.0,27.96
channel_2,22.0,23.74
channel_2,23.0,18.51
channel_2,24.0,13.75
channel_2,25.0,10.5
channel_2,26.0,9.093
channel_2,27.0,9.239
channel_2,28.0,10.24
channel_2,29.0,11.3
channel_2,30.0,11.81
channel_2,31.0,11.48
channel_2,32.0,10.34
channel_2,33.0,8.692
channel_2,34.0,6.923
channel_2,35.0,5.387
channel_2,36.0,4.3
channel_2,37.0,3.71
channel_2,38.0,3.524
channel_2,39.0,3.565
channel_2,40.0,3.642
channel_2,41.0,3.612
channel_2,42.0,3.406
channel_2,43.0,3.031
channel_2,44.0,2.55
channel_2,45.0,2.049
channel_2,46.0,1.609
channel_2,47.0,1.28
channel_2,48.0,1.076
channel_2,49.0,0.9797
channel_2,50.0,0.9508
channel_2,51.0,0.9454
channel_2,52.0,0.9271
channel_2,53.0,0.8751
channel_2,54.0,0.786
channel_2,55.0,0.6704
channel_2,56.0,0.5462
channel_2,57.0,0.4319
channel_2,58.0,0.341
channel_2,59.0,0.2796
channel_2,60.0,0.2459
channel_2,61.0,0.2324
channel_2,62.0,0.2292
channel_2,63.0,0.2269
channel_2,64.0,0.2188
channel_2,65.0,0.2022
channel_2,66.0,0.178
channel_2,67.0,0.1494
channel_2,68.0,0.1207
channel_2,69.0,0.09571
channel_2,70.0,0.07689
channel_2,71.0,0.06495
channel_2,72.0,0.05899
channel_2,73.0,0.05707
channel_2,74.0,0.05689
channel_2,75.0,0.05642
channel_2,76.0,0.05434
channel_2,77.0,0.05017
channel_2,78.0,0.04422
channel_2,79.0,0.0373
channel_2,80.0,0.0304
channel_2,81.0,0.02439
channel_2,82.0,0.01983
channel_2,83.0,0.01688
channel_2,84.0,0.01536
channel_2,85.0,0.01484
channel_2,86.0,0.01481
channel_2,87.0,0.01478
channel_2,88.0,0.01441
channel_2,89.0,0.01354
channel_2,90.0,0.0122
channel_2,91.0,0.01054
channel_2,92.0,0.008789
channel_2,93.0,0.007156
channel_2,94.0,0.005809
channel_2,95.0,0.00483
channel_2,96.0,0.004223
channel_2,97.0,0.003922
channel_2,98.0,0.003824
channel_2,99.0,0.00381
channel_2,100.0,0.00378
channel_2,101.0,0.003665
channel_2,102.0,0.003437
channel_2,103.0,0.003103
channel_2,104.0,0.002698
channel_2,105.0,0.00227
channel_2,106.0,0.001865
channel_2,107.0,0.001518
channel_2,108.0,0.001252
channel_2,109.0,0.001071
channel_2,110.0,0.000965
channel_2,111.0,0.0009153
channel_2,112.0,0.0008974
channel_2,113.0,0.000888
channel_2,114.0,0.000869
channel_2,115.0,0.0008302
channel_2,116.0,0.000769
channel_2,117.0,0.0006889
channel_2,118.0,0.000597
channel_2,119.0,0.000502
channel_2,120.0,0.0004119
channel_2,121.0,0.0003338
channel_2,122.0,0.0002718
channel_2,123.0,0.0002276
channel_2,124.0,0.0001994
channel_2,125.0,0.0001838
channel_2,126.0,0.0001762
channel_2,127.0,0.0001723
channel_2,128.0,0.0001688
channel_2,129.0,0.0001635
channel_2,130.0,0.0001552
channel_2,131.0,0.0001434
channel_2,132.0,0.0001284
channel_2,133.0,0.0001113
channel_2,134.0,9.365e-05
channel_2,135.0,7.705e-05
channel_2,136.0,6.266e-05
channel_2,137.0,5.106e-05
channel_2,138.0,4.231e-05
channel_2,139.0,3.621e-05
channel_2,140.0,3.243e-05
channel_2,141.0,3.053e-05
channel_2,142.0,2.99e-05
channel_2,143.0,2.984e-05
channel_2,144.0,2.968e-05
channel_2,145.0,2.901e-05
channel_2,146.0,2.773e-05
channel_2,147.0,2.596e-05
